CropType,PlantingDate,HarvestDate,Yield,AverageTemperature,Rainfall,Soil Type,SoilMoisture,Location (Lat, Long),Altitude,FertilizerUsage,PesticideUsage
Wheat,2022-04-15,2022-07-01,3500,22.5,150,Loam,25%,(40.7128, -74.0060),1000,150 kg,2 liters
Corn,2022-05-01,2022-09-15,8000,26.0,200,Sandy,20%,(34.0522, -118.2437),500,200 kg,3 liters
Rice,2022-06-10,2022-10-30,5000,28.5,180,Clay,30%,(41.8781, -87.6298),600,180 kg,1.5 liters
Barley,2022-03-20,2022-06-30,4000,20.0,120,Loam,22%,(38.8951, -77.0364),300,120 kg,2.5 liters
Soybean,2022-05-15,2022-09-01,6000,24.5,180,Sandy,18%,(37.7749, -122.4194),800,160 kg,2 liters
Potato,2022-04-01,2022-08-15,3000,18.0,100,Clay,28%,(33.6844, -117.8265),400,140 kg,1 liter
Oats,2022-03-25,2022-07-15,3500,21.0,130,Sandy,25%,(41.8781, -87.6298),600,170 kg,2.5 liters
Maize,2022-04-10,2022-09-30,7500,25.5,190,Loam,23%,(34.0522, -118.2437),500,180 kg,3.5 liters
Sorghum,2022-03-15,2022-08-30,4500,23.0,160,Clay,27%,(40.7128, -74.0060),1000,160 kg,2 liters
Cotton,2022-05-20,2022-10-15,5500,27.0,220,Sandy,15%,(38.8951, -77.0364),300,200 kg,4 liters
